0,1,2,3,4,5,6,7
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
4.0,2.2,0.0,0.0,0.0,200.0,0.5,51.8535966729857
